lat,lon
44.22820649417958,-75.13096478118786
41.93537281343276,-75.02113581343276
42.85724057663698,-74.19035129451206
40.5868881209913,-73.71105249008265
40.7997378893859,-73.68869187565288
44.274597282301016,-75.77648456449394
41.25766076217539,-74.30998781920113
43.17385890771354,-74.51634403112034
40.703411432607375,-73.67806208612787
41.38789452967349,-74.49596629425142
40.9005997414173,-73.36173141781285
40.63458126214736,-73.65229633462079
43.32451200535555,-78.55035752560927
40.72805903053395,-73.46580949106995
40.8461411944651,-72.90077211988883
42.31135054425974,-79.57910100012398
44.726564508375056,-73.55258335300792
43.098439887988626,-76.18038984182749
40.8679738903464,-73.12203731153332
40.768412649295406,-72.95628020536785
41.98169249765005,-73.66100325519768
42.75045470051548,-76.83260545710114
41.87502532680976,-74.57097884504643
42.16170191009405,-76.82158564356895
40.895732749514664,-73.82282180193702
40.76757926747262,-72.9712520671902
43.30909879747196,-73.66849984447336
41.2870154150715,-74.16037783338622
40.94798985171957,-72.67258541839354
42.120728918480644,-79.7381051485953
42.94146052972236,-73.65130754239969
43.09552636683252,-76.14641008459012
43.16574080121395,-76.34870197762082
40.86606834570503,-73.6309401075485
42.595553140407965,-77.77734527627707
41.09711446729824,-74.11633421907611
42.535933382552365,-75.52417173251386
44.53217665545764,-74.92284732973104
43.083049458404766,-78.06388458326376
41.09717530660051,-72.36756484329557
40.92772060957346,-73.89093633695518
42.45934514437989,-78.85690415453159
40.89614435580248,-72.99767408646309
43.05003045591251,-75.86587765739529
43.16370462652149,-73.72470360330229
42.41303810113372,-74.01783461198045
42.45084854894726,-73.66939371586123
40.855068967898745,-73.34016123322907
42.68657713336815,-73.69513069709993
42.874663409171056,-78.85709865347305
43.092707175780696,-75.21596741622409
40.85458261640855,-73.61961278213987
40.84368345282877,-73.52274044719337
43.02399346380452,-78.78411165525
40.99185336237711,-73.74933528892618
41.67103987964231,-74.67904366704668
43.02623645535197,-76.13785617563488
40.90801789568183,-73.05330375008401
42.58074460640822,-76.20780303169363
43.07875691958996,-75.76250836355369
43.06135621525954,-76.63085244866524
42.96534672936619,-77.34913223480746
40.74937596224248,-73.61447196991405
43.01757841398176,-78.8291143040213
40.718679368101725,-73.54481649224427
44.29107520249675,-73.98816312413736
43.057715754093174,-76.20402692095686
40.86930567965317,-73.03431582932426
40.757489558673875,-73.55028845511205
40.695149641578915,-73.33782247842824
42.72638265011468,-77.88048354911807
42.148846514003154,-74.69889235184063
42.63546131315927,-73.61703862518405
42.02706407019449,-75.63402532172996
40.926448897554785,-73.86894097787685
42.15905837807297,-73.88071494439394
41.11422211024307,-73.9200168931148
40.89174172080118,-73.40650464204813
43.086269972603795,-77.51724269705616
42.98442392079151,-78.82888764458785
43.020856967604345,-73.99475881413977
42.54358841097877,-76.53177056205975
43.36997862422397,-78.36788505602188
